,temp,hum,heat,dewPoint,tiempo
142,21.7999992,14.6846976,21.706449499999998,64.0,1595628240000
143,21.7999992,14.6846976,21.706449499999998,64.0,1595628300000
144,21.7999992,14.6846976,21.706449499999998,64.0,1595628360000
145,21.8999996,14.7793975,21.816446300000003,64.0,1595628420000
146,21.7999992,14.6846976,21.706449499999998,64.0,1595628480000
147,21.7999992,14.6846976,21.706449499999998,64.0,1595628540000
148,21.7999992,14.6846976,21.706449499999998,64.0,1595628600000
149,21.7999992,14.6846976,21.706449499999998,64.0,1595628660000
150,21.7999992,14.6846976,21.706449499999998,64.0,1595628720000
151,21.7999992,14.6846976,21.706449499999998,64.0,1595628780000
152,21.7999992,14.6846976,21.706449499999998,64.0,1595628840000
153,21.7999992,14.6846976,21.706449499999998,64.0,1595628900000
154,21.7999992,14.6846976,21.706449499999998,64.0,1595628960000
155,21.7999992,14.6846976,21.706449499999998,64.0,1595629020000
156,21.1000004,14.0217483,20.936460500000003,64.0,1595629080000
157,21.7999992,14.6846976,21.706449499999998,64.0,1595629140000
158,21.7999992,14.6846976,21.706449499999998,64.0,1595629200000
159,21.7999992,14.6846976,21.706449499999998,64.0,1595629260000
160,21.7999992,14.6846976,21.706449499999998,64.0,1595629320000
161,21.7999992,14.6846976,21.706449499999998,64.0,1595629380000
162,21.7999992,14.6846976,21.706449499999998,64.0,1595629440000
163,21.7000008,14.5899976,21.5964508,64.0,1595629500000
164,21.7999992,14.6846976,21.706449499999998,64.0,1595629560000
165,21.6000004,14.251546,21.4603405,63.0,1595629620000
166,21.7000008,14.3460706,21.570337300000002,63.0,1595629680000
167,21.6000004,14.251546,21.4603405,63.0,1595629740000
168,21.7000008,14.3460706,21.570337300000002,63.0,1595629800000
169,21.6000004,14.251546,21.4603405,63.0,1595629860000
170,21.6000004,14.251546,21.4603405,63.0,1595629920000
171,21.6000004,14.495293900000002,21.4864483,64.0,1595629980000
172,21.6000004,14.251546,21.4603405,63.0,1595630040000
173,21.6000004,14.251546,21.4603405,63.0,1595630100000
174,21.6000004,14.251546,21.4603405,63.0,1595630160000
175,21.7000008,14.3460706,21.570337300000002,63.0,1595630220000
176,21.6000004,14.251546,21.4603405,63.0,1595630280000
177,21.6000004,14.251546,21.4603405,63.0,1595630340000
178,21.6000004,14.251546,21.4603405,63.0,1595630400000
179,21.6000004,14.251546,21.4603405,63.0,1595630460000
180,21.6000004,14.495293900000002,21.4864483,64.0,1595630520000
181,21.6000004,14.251546,21.4603405,63.0,1595630580000
182,21.6000004,14.251546,21.4603405,63.0,1595630640000
183,21.6000004,14.251546,21.4603405,63.0,1595630700000
184,21.6000004,14.251546,21.4603405,63.0,1595630760000
185,21.6000004,14.251546,21.4603405,63.0,1595630820000
186,21.6000004,14.251546,21.4603405,63.0,1595630880000
187,21.6000004,14.251546,21.4603405,63.0,1595630940000
188,21.6000004,14.251546,21.4603405,63.0,1595631000000
189,21.6000004,14.251546,21.4603405,63.0,1595631060000
190,21.6000004,14.251546,21.4603405,63.0,1595631120000
191,21.6000004,14.495293900000002,21.4864483,64.0,1595631180000
192,21.5,14.1570195,21.3503418,63.0,1595631240000
193,21.6000004,14.251546,21.4603405,63.0,1595631300000
194,21.6000004,14.251546,21.4603405,63.0,1595631360000
195,21.6000004,14.251546,21.4603405,63.0,1595631420000
196,21.6000004,14.251546,21.4603405,63.0,1595631480000
197,21.6000004,14.251546,21.4603405,63.0,1595631540000
198,21.6000004,14.251546,21.4603405,63.0,1595631600000
199,21.6000004,14.251546,21.4603405,63.0,1595631660000
200,21.6000004,14.251546,21.4603405,63.0,1595631720000
201,21.6000004,14.251546,21.4603405,63.0,1595631780000
202,21.6000004,14.251546,21.4603405,63.0,1595631840000
203,21.6000004,14.251546,21.4603405,63.0,1595631900000
204,21.6000004,14.251546,21.4603405,63.0,1595631960000
205,21.6000004,14.251546,21.4603405,63.0,1595632020000
206,21.6000004,14.251546,21.4603405,63.0,1595632080000
207,21.6000004,14.251546,21.4603405,63.0,1595632140000
208,21.6000004,14.251546,21.4603405,63.0,1595632200000
209,21.6000004,14.251546,21.4603405,63.0,1595632260000
210,21.6000004,14.251546,21.4603405,63.0,1595632320000
211,21.5,14.1570195,21.3503418,63.0,1595632380000
212,21.6000004,14.251546,21.4603405,63.0,1595632440000
213,21.6000004,14.251546,21.4603405,63.0,1595632500000
214,16.100000400000003,9.0496605,15.410400400000002,63.0,1595632560000
215,21.6000004,14.495293900000002,21.4864483,64.0,1595632620000
216,21.3999996,14.062490900000002,21.240339300000002,63.0,1595632680000
217,21.6000004,14.251546,21.4603405,63.0,1595632740000
218,21.6000004,14.251546,21.4603405,63.0,1595632800000
219,21.6000004,14.251546,21.4603405,63.0,1595632860000
220,21.6000004,14.251546,21.4603405,63.0,1595632920000
221,21.6000004,14.251546,21.4603405,63.0,1595632980000
222,21.6000004,14.251546,21.4603405,63.0,1595633040000
223,21.5,14.1570195,21.3503418,63.0,1595633100000
224,21.5,14.1570195,21.3503418,63.0,1595633160000
225,24.1000004,16.614056400000003,24.21031,63.0,1595633220000
226,21.5,14.1570195,21.3503418,63.0,1595633280000
227,21.6000004,14.251546,21.4603405,63.0,1595633340000
228,21.5,14.1570195,21.3503418,63.0,1595633400000
229,21.5,14.1570195,21.3503418,63.0,1595633460000
230,21.5,14.1570195,21.3503418,63.0,1595633520000
231,21.3999996,14.062490900000002,21.240339300000002,63.0,1595633580000
232,21.3999996,14.062490900000002,21.240339300000002,63.0,1595633640000
233,21.3999996,14.062490900000002,21.240339300000002,63.0,1595633700000
234,21.6000004,14.251546,21.4603405,63.0,1595633760000
235,21.5,14.1570195,21.3503418,63.0,1595633820000
236,21.3999996,14.062490900000002,21.240339300000002,63.0,1595633880000
237,21.3999996,14.062490900000002,21.240339300000002,63.0,1595633940000
238,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634000000
239,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634060000
240,21.5,14.1570195,21.3503418,63.0,1595634120000
241,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634180000
242,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634240000
243,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634300000
244,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634360000
245,21.2000008,13.8734297,21.0203476,63.0,1595634420000
246,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634480000
247,21.5,14.1570195,21.3503418,63.0,1595634540000
248,21.3999996,14.062490900000002,21.240339300000002,63.0,1595634600000
